year,path_mcd14ml,path_mcd14ml_ee,path_mcd14ml_gldas21,path_mcd14ml_gldas21_resolve,nrecords_mcd14ml,nrecords_mcd14ml_ee,nrecords_mcd14ml_gldas21,nrecords_mcd14ml_gldas21_resolve,records_lost_ee,records_lost_gldas21,records_lost_gldas21_resolve,records_lost_total
2000,data/data_raw/fire_archive_M6/DL_FIRE_M6_50639/fire_archive_M6_50639.shp,data/data_output/mcd14ml/mcd14ml_2000.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2000.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2000.csv,264718,264718,264718,261414,0,0,3304,3304
2001,data/data_raw/fire_archive_M6/DL_FIRE_M6_50640/fire_archive_M6_50640.shp,data/data_output/mcd14ml/mcd14ml_2001.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2001.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2001.csv,1789790,1789790,1789790,1770094,0,0,19696,19696
2002,data/data_raw/fire_archive_M6/DL_FIRE_M6_50641/fire_archive_M6_50641.shp,data/data_output/mcd14ml/mcd14ml_2002.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2002.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2002.csv,3726003,3726003,3726003,3699463,0,0,26540,26540
2003,data/data_raw/fire_archive_M6/DL_FIRE_M6_50642/fire_archive_M6_50642.shp,data/data_output/mcd14ml/mcd14ml_2003.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2003.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2003.csv,5184272,5184272,5150365,5143671,0,33907,6694,40601
2004,data/data_raw/fire_archive_M6/DL_FIRE_M6_50643/fire_archive_M6_50643.shp,data/data_output/mcd14ml/mcd14ml_2004.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2004.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2004.csv,5127336,5127336,5127336,5091623,0,0,35713,35713
2005,data/data_raw/fire_archive_M6/DL_FIRE_M6_50644/fire_archive_M6_50644.shp,data/data_output/mcd14ml/mcd14ml_2005.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2005.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2005.csv,5158284,5158284,5158284,5123589,0,0,34695,34695
2006,data/data_raw/fire_archive_M6/DL_FIRE_M6_50645/fire_archive_M6_50645.shp,data/data_output/mcd14ml/mcd14ml_2006.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2006.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2006.csv,4721882,4721882,4690208,4681938,0,31674,8270,39944
2007,data/data_raw/fire_archive_M6/DL_FIRE_M6_50646/fire_archive_M6_50646.shp,data/data_output/mcd14ml/mcd14ml_2007.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2007.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2007.csv,5172627,5172627,5136682,5129472,0,35945,7210,43155
2008,data/data_raw/fire_archive_M6/DL_FIRE_M6_50647/fire_archive_M6_50647.shp,data/data_output/mcd14ml/mcd14ml_2008.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2008.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2008.csv,4855536,4855536,4855536,4817283,0,0,38253,38253
2009,data/data_raw/fire_archive_M6/DL_FIRE_M6_50648/fire_archive_M6_50648.shp,data/data_output/mcd14ml/mcd14ml_2009.csv,data/data_output/mcd14ml_gldas21/mcd14ml_with_gldas_climate_variables_2009.csv,data/data_output/mcd14ml_gldas21_resolve-ecoregions/mcd14ml_gldas21_resolve-ecoregions_2009.csv,4488383,4488383,4457759,4451657,0,30624,6102,36726
