DAYNIGHT,landcover,misclassified_count,total_count,pct_misclassified
N,Wooded Tundra,31707,77987,40.656776129354895
N,Mixed Tundra,383,1333,28.732183045761442
N,Deciduous Needleleaf Forest,39425,177444,22.218277315660153
N,Evergreen Needleleaf Forest,59548,531348,11.206967938149763
N,Permanent Wetland,300,5271,5.691519635742743
N,Open Shrublands,47788,874300,5.465858401006519
N,Mixed Forest,3974,329229,1.2070625613175023
N,Ocean,511,57720,0.8853083853083853
N,missing value,435,68132,0.638466506193859
N,Snow and Ice,1,383,0.26109660574412535
N,Grassland,724,586353,0.12347510799808306
N,Urban and Built-Up,22,17986,0.12231735794506839
N,Cropland,27,521782,0.005174574822435423
N,Evergreen Broadleaf Forest,39,1492101,0.0026137640816539898
