lat,DAYNIGHT,misclassified_count,total_count
-55,D,0,385
-55,N,0,80
-50,N,0,321
-50,D,0,1523
-45,D,0,13239
-45,N,0,2710
-40,D,0,118672
-40,N,0,27112
-35,D,0,482841
-35,N,0,97449
-30,D,0,974204
-30,N,0,126211
-25,D,0,2073643
-25,N,0,417998
-20,D,0,3197350
-20,N,0,673860
-15,D,0,8458529
-15,N,0,874078
-10,D,0,9858364
-10,N,0,897725
-5,D,0,6380407
-5,N,0,577188
-0,D,0,1590830
-0,N,0,253926
5,D,0,6318834
5,N,0,490650
10,D,0,9303361
10,N,0,727513
15,N,0,257010
15,D,0,2333894
20,D,0,2374141
20,N,0,225112
25,D,0,1288087
25,N,0,156779
30,D,0,1209823
30,N,0,130549
35,N,0,166640
35,D,0,913866
40,D,0,781210
40,N,0,164478
45,D,0,1391683
45,N,0,203793
50,D,0,2182691
50,N,0,350776
55,D,0,2044811
55,N,2063,301062
60,D,0,735734
60,N,46343,327013
65,N,129761,294424
65,D,0,669037
70,D,0,47911
70,N,6717,11666
75,D,0,51
80,D,0,19
85,D,0,1
